step,group_id,agent_id,attack_action,attack_goal,attack_reward,starve_action,turn_action,turn_old_dir,turn_old_position,turn_new_dir,turn_new_position,move_action,move_old_position,move_new_position,is_dead,dead_reasondead_time
step,group_id,agent_id,attack_action,attack_goal,attack_reward,starve_action,turn_action,turn_old_dir,turn_old_position,turn_new_dir,turn_new_position,move_action,move_old_position,move_new_position,is_dead,dead_reasondead_time
step,group_id,agent_id,attack_action,attack_goal,attack_reward,starve_action,turn_action,turn_old_dir,turn_old_position,turn_new_dir,turn_new_position,move_action,move_old_position,move_new_position,is_dead,dead_reason,dead_time
2,0,0,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(51|58),(51|56),0,,
2,0,1,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(51|60),(50|59),0,,
2,0,2,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(51|62),(50|61),0,,
2,0,3,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(51|64),(50|63),0,,
2,0,4,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(53|58),(53|56),0,,
2,0,5,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(53|60),(54|60),0,,
2,0,6,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(53|62),(52|62),0,,
2,0,7,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(53|64),(52|64),0,,
2,0,8,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(55|58),(55|56),0,,
2,0,9,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(55|60),(54|59),0,,
2,0,10,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(55|62),(54|61),0,,
2,0,11,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(55|64),(54|65),0,,
2,1,12,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(65|58),(65|57),0,,
2,1,13,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(65|60),(65|59),0,,
2,1,14,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(65|62),(65|61),0,,
2,1,15,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(65|64),(65|63),0,,
2,1,16,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(69|58),(69|56),0,,
2,1,17,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(69|60),(69|59),0,,
2,1,18,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(69|62),(69|61),0,,
2,1,19,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(69|64),(69|63),0,,
2,1,20,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(71|58),(71|56),0,,
2,1,21,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(71|60),(71|59),0,,
2,1,22,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(71|62),(71|61),0,,
2,1,23,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(71|64),(71|63),0,,
3,0,0,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(51|56),(51|54),0,,
3,0,1,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(50|59),(50|57),0,,
3,0,2,ATTACK_NULL,,,STARVE_NULL,TURN_NULL,,,,,MOVE_SUCCESS,(50|61),(50|59),0,,
